UniProt IDs,Clusters,DPC_0h_1,DPC_0h_2,DPC_0h_3,DPC_0h_4,DPC_3h_1,DPC_3h_2,DPC_3h_3,DPC_3h_4,DPC_6h_1,DPC_6h_2,DPC_6h_3,DPC_6h_4,DPC_9h_1,DPC_9h_2,DPC_9h_3,DPC_9h_4,DPC_12h_1,DPC_12h_2,DPC_12h_3,DPC_12h_4,DPC_18h_1,DPC_18h_2,DPC_18h_3,DPC_18h_4,DPC_24h_1,DPC_24h_2,DPC_24h_3,DPC_24h_4,DPC_36h_1,DPC_36h_2,DPC_36h_3,DPC_36h_4
Q5H9R7,59,27646.48438,31911.77734,30959.63086,31111.05859,29454.81836,32519.45898,30068.99023,32072.94531,36267.69531,35538.95703,38476.08984,35649,33782.57813,33760.70703,34498.37891,33851.79688,30392,24398.64844,26673.44922,26297.48633,25490.83398,26198.79688,24690.81445,26887.51367,26203.91602,27333.70313,23510.07227,24431.58203,26406.26172,29970.99219,26792.06445,26088.58789
Q5HYJ3,58,28807.0625,30839.12109,28525.32227,29810.67188,27823.16406,33254.55078,32189.78906,32044.0332,27757.99609,27962.00586,28543.9707,29414.24414,28611.09766,32205.40039,30832.82227,31242.02148,40220.73047,41679.86719,40360.03516,39610.44141,45828.03906,40651.23047,43330.57031,47997.91797,46000.3125,50770.36719,46860.15234,48323.97656,39763.62891,37603.22656,39054.57813,40688.58984
Q5HYK7,59,2983.102051,3615.754883,3247.168701,33397.17188,53201.58594,4756.700195,8860.868164,6281.496582,44691.13281,22962.34961,3442.380859,18727.82813,22869.87109,43197.15625,43355.45313,43281.48828,15959.49121,17934.02148,16425.43359,17416.36133,3623.950684,7089.418945,8256.719727,15697.09766,8646.125977,14784.72754,5050.397461,11242.93945,13754.68262,13673.05762,11796.36621,4721.017578
Q5JPI3,2,16961.1582,19279.72461,17581.80078,16279.3252,16784.71289,15533.98535,19575.92188,17276.12695,20112.07813,21061.30078,19203.22656,18755.26953,22452.38086,20748.19531,18799.50977,17440.27148,13111.68555,17304.74414,19162.26758,19014.56836,18930.02539,23712.3418,28185.19531,27499.91016,21917.56641,23087.31836,9153.879883,19144.28125,24043.125,15556.86035,15454.37109,22158.51758
Q5JRA6,51,22294.56836,22428.11523,21665.79297,21320.47656,24819.22852,24216.89258,23966.30469,23589.64453,21541.02344,22570.04883,21975.92773,20847.84961,22675.51758,22479.38281,22404.21289,20617.8457,23798.58789,21403.36133,23199.90234,21622.05078,21095.23633,21507.79297,21062.17188,22091.37891,23925.40039,21563.2832,23233.88867,22582.98828,22921.18555,22707.05859,22043.52734,24049.11133
Q5JSH3,12,39235.125,32373.58203,33136.05469,33336.55078,32776.60938,31224.62109,34121.07031,31286.42383,42938.49609,35911.95703,37810.25781,37895.08984,35543.79688,37639.07422,36884.86328,35175.22266,26950.88477,24433.48828,23668.35156,21569.89844,23936.50391,22203.30273,19652.21875,22001.93555,21912.3125,21962.87891,24277.38672,23130.2207,29469.30469,24033.36914,24606.54492,24327.28711
Q5JSZ5,56,18668.74805,19170.99023,17730.58789,18543.61133,20720.07617,18687.25977,17468.7168,14382.07227,19403.84375,22188.24609,22590.0332,22265.04297,22445.44531,20719.75977,22737.56641,21347.93164,18647.90039,21222.62109,22825.58008,18380.67383,15564.42188,14509.9248,15816.37695,18090.86719,15653.20703,13789.18848,15644.78516,15641.8916,16034.33398,13306.93066,10788.96289,11041.85938
Q5JTD0,13,22074.58594,16793.48633,18387.01367,18805.82422,18569.93945,16041.18652,15820.76758,16168.63672,18517.21875,17526.62305,17011.24805,15299.49707,17429.72461,18450.58203,17673.36914,14660.24316,20796.32227,16697.45313,14343.0127,13147.28223,14120.57422,12059.0127,13456.73438,14859.91113,13071.68262,12183.30273,13530.64355,13368.76465,13075.30762,9242.660156,12967.3125,10672.42285
Q5JTH9,55,34657.27734,32766.69336,33343.90234,33667.14453,36309,34644.58594,35063.19922,34198.29297,33293.78906,32498.44336,32152.88672,32558.01172,31815.56445,31462.88672,30947.41797,32024.60938,34917.98828,28864.15039,31061.52734,30539.82227,28449.4375,26973.02734,25980.25195,27808.38086,26759.12695,25323.10156,24308.47266,27099.42773,21306.39453,19875.69531,19282.10742,21124.60352
Q5JTJ3,57,4362.474121,4046.349121,2910.071533,5019.806152,4735.153809,5500.518555,4567.702148,6603.796875,2950.990967,4439.938965,2862.39209,5321.584961,3033.249023,4503.581543,3112.758301,6285.552734,5713.92334,4175.12793,6122.637695,3672.57373,13937.64453,15662.68848,15738.56543,16602.50195,25181.71289,23762.79102,24490.23828,25690.91211,37012.26563,35233.55078,34429.86328,39967.31641
