"","DPC_0h_1","DPC_0h_2","DPC_0h_3","DPC_0h_4","DPC_3h_1","DPC_3h_2","DPC_3h_3","DPC_3h_4","DPC_6h_1","DPC_6h_2","DPC_6h_3","DPC_6h_4","DPC_9h_1","DPC_9h_2","DPC_9h_3","DPC_9h_4","DPC_12h_1","DPC_12h_2","DPC_12h_3","DPC_12h_4","DPC_18h_1","DPC_18h_2","DPC_18h_3","DPC_18h_4","DPC_24h_1","DPC_24h_2","DPC_24h_3","DPC_24h_4","DPC_36h_1","DPC_36h_2","DPC_36h_3","DPC_36h_4"
"O15160",21.96114123297,19.1127111043302,21.402864313354,21.8502404472403,21.6590508776197,18.6240564010113,23.4316744630548,21.1727293527475,21.95063833592,23.3489288786411,22.9229931936736,23.8608640190409,24.3930041020277,27.6984309176572,28.2774540998523,26.1654514459625,28.332174968929,33.7855549789728,32.1099418013328,35.2215688018429,45.0191515787203,44.9575168222519,43.7406692963512,41.5427504269928,41.9075572220853,43.9314503091181,45.4551993884826,44.2749033942013,43.3243435539902,41.0982998416919,43.4184215107639,41.8797610045491
"O43242",25.8882566558577,26.8561386062125,28.2399125957546,28.8354127918392,23.3159492980647,24.0144356598988,24.7215862397836,27.554543185475,31.9403921862086,32.5709247066246,32.2861472922698,32.2430315324056,32.4032182267223,36.3192996559227,36.3342306931452,36.6027678436661,34.2706467247771,37.5228278640602,37.5857183403069,38.7265412355016,43.1338757793871,46.0469655171136,45.1565973250961,43.5314529980808,44.8680685040547,49.1478448922776,45.2178416610302,46.0146556539417,47.9531667810391,55.8493538187721,52.9404869597274,54.1900412946896
"O43592",13.9555106195809,13.5094916736848,13.6171734825653,13.8298181446427,12.8866865185473,13.8250732314046,14.2004629170842,13.5386285557025,13.4200732259718,13.781686340035,13.791322400451,13.9437546739534,12.6531249022285,13.8085947988273,13.8177227539506,14.0874473103208,12.3410998849085,13.7311131250236,13.9538619125526,14.9252851386886,14.9894652919564,15.0227575061081,15.8241841007912,14.8394369308049,13.7283242519511,14.7671921465242,14.3234377451994,14.1963354157549,14.6982305051526,16.0333573175594,14.597268063344,15.6163755953131
"O43719",46.842267967157,45.4610906905273,48.392386455126,52.1395817468718,51.196691994055,50.674591903182,51.967382151362,55.9499827100565,51.0313331658038,49.5795112975013,48.8351822722227,52.1502232640733,56.0332238721437,57.3928369412052,58.65690273595,58.0211573385635,62.9027906762373,74.6681099001635,68.4243557106183,73.998776310574,84.2376579948625,92.2871214310402,84.0831575824952,81.7128965196584,83.5190447083933,94.0784299291306,85.2317694125766,78.1661875479683,80.2381423458552,93.7277897457174,93.3510952204033,86.1223816303807
"O60506",43.9532118029574,44.7150436905387,46.6681898894583,47.4399998550733,46.3197270999134,41.4962645238819,46.4303732438809,47.9001639304875,47.3214160046356,51.5873920477493,52.6135028305742,54.9296035516997,51.5818404830538,57.1049216865323,58.4599650549434,58.4936703007411,65.8779268347981,71.2105855283003,68.2600844661088,71.5098217554425,86.2535415379429,85.5459057996011,84.3982294779294,84.6696038701115,80.2371597525876,91.7903210777649,83.9042518176481,79.4698856348335,92.4204735438142,91.6922018622973,93.5666929699553,97.4114855925278
"O60701",42.2439908838373,40.0368125328021,41.006126454678,41.1545579500034,37.6357625052825,32.8431667982077,35.4583559273526,35.482881329725,39.3226922444598,42.6255617397825,39.8491296823352,40.2576086958358,36.9238255242114,37.8339416450538,34.7658984008938,35.2085628241207,43.219380405951,41.3366531647251,39.7696869990222,41.1177450272078,57.1954347795899,50.1078859638219,50.3555739164194,55.1331210836777,59.2673624688413,54.5929327584326,56.5371413369404,62.8610925277617,59.8860621181736,59.3772014514852,60.1800759507515,65.9961974225903
"O75369",131.74654561916,138.015074447409,138.72530247583,139.627856635989,136.35912893867,145.198713805694,146.543804471603,149.998760612682,128.465972762555,130.421197065853,130.00231028545,135.016202736514,128.87230933045,135.09754310721,132.653460924306,134.89643271621,132.417988803814,146.912574574457,146.576565293594,152.507861442353,141.31545298752,146.857900830755,149.133329347773,143.909329381961,143.8231878795,149.351915018416,141.49030502976,144.792145528681,154.928465631558,160.504772054968,163.749909849534,160.331529788024
"P05412",8.57507053608361,17.5888753997418,17.8728320782951,14.5194967658997,21.0304368164349,12.5734725193861,18.0093365606991,14.5313549366442,18.6047559206224,18.2728516358812,20.3417717758526,19.7326201986141,31.403446039532,29.543453513124,30.6525408346199,34.4413451829834,61.3365337695245,52.572221794902,61.320106217039,53.4664820564082,106.658619257216,105.591341953795,100.333781675422,102.156488452757,108.01720795816,119.881611989881,135.290071669865,108.974425224499,128.384927374692,123.029497483114,114.296265290747,138.817681281401
"P05455",48.0980604115977,46.8627029671609,48.3263514499935,48.825026445267,45.5182289898082,43.5155306716884,47.0539738728784,43.5698464020517,50.6750724823789,53.0193253195546,52.4291023966558,53.2363467853465,51.3047660686823,54.3048070257664,56.0713447967978,52.6444148241855,58.1817844100385,56.1232324940869,51.5752833403469,58.0489669947507,68.3776600276243,65.5926105287949,70.114661902823,68.7265610889548,73.8925005544837,79.0335175515335,80.6138598902209,74.2087900784693,76.5813867932837,77.5321263051982,79.4911800367281,75.8123304228917
"P07108",38.4815659770509,32.7348891856287,38.9721557834796,35.7941458932547,42.1535465507974,37.229353601562,33.5249625539068,37.1100558659834,32.0754855459326,33.1170592481487,28.4058457265697,31.7533226747726,40.6961124043911,35.8929298271727,30.6904799870352,36.4833128484946,40.7817640891553,56.3733265001483,53.3497099879196,51.8589997476793,59.4214894025636,43.8098649286762,67.6187257039849,64.010715428608,69.5084331783067,68.3484683827249,91.6403622017084,70.2501687373729,64.9507446976476,73.6406842174085,77.424901551482,83.9545934918863
